stationId	latitude	longitude
INAMUR76	50.4201	4.79944
IFOSSE4	50.40847	4.75324
INAMUR65	50.42964	4.81763
INAMUR62	50.431	4.82
INAMUR22	50.42133	4.86263
IFLORE87	50.452	4.761
IFLORE70	50.44254	4.73502
INAMUR78	50.437	4.923
INAMUR77	50.45208	4.87693
IASSES5	50.39076	5.0231
IGESVE1	50.42656	5.02254
IASSES6	50.38	5.036
IASSES2	50.386	5.044
IANDEN4	50.466	5.01
IOHEY1	50.451	5.156
IANDENNE12	50.48333	5.1
IANDEN2	50.48567	5.14456
IANDEN3	50.493	5.122
IMARCH46	50.4656	5.2382
IRGIONWA62	50.46568	5.2381
IMARCHIN4	50.48147	5.23213
IHUY12	50.49593	5.21077
ICLAVI1	50.41573	5.37144
ITINLO1	50.46339	5.32362
IMODAV1	50.47813	5.29041
IHAMOI1	50.428	5.54
IHAMOI10	50.457	5.543
INANDR2	50.51776	5.36504
IFERRI19	50.439	5.622
IFERRI13	50.438	5.624
IANTHI3	50.50107	5.50826
IAYWAI4	50.477	5.659
IAYWAI2	50.486	5.692
ISPRIM3	50.507	5.642
ITHEUX19	50.46488	5.8082
IRGIONWA85	50.4999	5.71551
ISTAVE11	50.44373	5.96582
ISTAVELO6	50.4437	5.96786
IJALHA7	50.49422	5.90854
IJALHA6	50.49424	5.90863
IJALHA2	50.507	5.922
IWAIME4	50.417	6.105
IMALME3	50.474	6.08
IBLLIN7	50.406	6.247
IBLLIN2	50.42552	6.26361
IBLLIN3	50.42301	6.30653
IBULLA6	50.415	6.313
IBLLIN5	50.40737	6.33114
IHELLE63	50.457	6.396
INORDRHE402	50.4618	6.40313
IHELLE53	50.467	6.485
ILABRU2	50.512	4.778
INAMUR79	50.475	4.799
INAMUR69	50.47472	4.80219
INAMUR71	50.47472	4.80219
INAMUR67	50.47272	4.8378
IRGIONWA78	50.46307	4.84739
ILABRUYR13	50.53477	4.86541
INAMUR20	50.49695	4.8868
INAMUR72	50.51234	4.94715
IGHEZE9	50.544	4.89
IGHEZE13	50.54646	4.90778
IGHEZE12	50.54653	4.90757
IGHEZE14	50.5466	4.90729
IGHEZE5	50.547	4.907
IWALPETI8	50.52159	5.04821
IHRON8	50.552	5.053
IWANZE14	50.524	5.185
IBURDI1	50.57638	5.14814
IHUY26	50.53312	5.25401
IVILLE71	50.561	5.267
IENGIS6	50.573	5.397
IENGIS7	50.58141	5.38728
ISERAI4	50.5683	5.53299
IDOLEMBR2	50.53104	5.61005
ISERAI5	50.58465	5.49327
IARRONDI6	50.58632	5.5651
ISPRIM5	50.51669	5.65676
ISPRIM9	50.5361	5.72778
ITHEUX8	50.51408	5.78265
ITHEUX20	50.51686	5.78186
ITROOZ8	50.557	5.725
IJALHA9	50.514	5.94
IRGIONWA124	50.5242	5.96526
IJALHA3	50.52483	5.96806
IJALHA4	50.52478	5.96843
IMONSC10	50.51392	6.20977
IMONSC7	50.52591	6.22205
IMONSCHA13	50.56489	6.19748
IEUPEN5	50.59	6.1
IMONSC6	50.56506	6.19828
IMONSC4	50.535	6.262
IMONSCHA14	50.53453	6.2641
IAACHENM1	50.56448	6.21191
IMONSC17	50.56831	6.21642
IMONSCHA15	50.56727	6.22939
INORDRHE241	50.56113	6.25608
ISCHLE44	50.51884	6.40488
INORDRHE452	50.51601	6.40752
ISIMME119	50.573	6.317
ISIMME121	50.573	6.317
ISCHLE38	50.5191	6.41288
INORDRHE51	50.49384	6.42642
IHELLE86	50.48849	6.44431
IHELLE102	50.482	6.496
IHELLE21	50.482	6.496
IPERWE1	50.62739	4.80556
IGEMBL4	50.58172	4.75409
IPERWE2	50.634	4.785
IRAMIL1	50.633	4.864
IGEMBLOU21	50.57581	4.71685
IGHEZE6	50.574	4.891
IGEMBL3	50.57	4.699
IINCOURT9	50.67723	4.7991
IRAMIL2	50.66	4.91
IBRAIV4	50.6197	5.08175
IBRAIV6	50.617	5.097
IBRAIV10	50.614	5.1
IHANNU14	50.63345	5.08999
IHANNU13	50.63966	5.0865
IHANNU9	50.63814	5.09251
IHANNU2	50.663	5.051
IHANNU8	50.663	5.051
IBRAIVES5	50.63495	5.15864
ITOURINN3	50.63878	5.17773
IVILLE189	50.58528	5.28003
IFAIME2	50.654	5.244
IGEER8	50.668	5.188
IVERLA7	50.61221	5.30771
IVERLA3	50.60327	5.31169
IFLMAL1	50.61611	5.42191
ISAINT1455	50.648	5.516
ISAINT2727	50.62515	5.5384
ILIGE75	50.62291	5.55916
ILIGE70	50.63	5.555
ILIGE78	50.597	5.575
ILIGE73	50.61967	5.5769
IRGIONWA46	50.58571	5.6168
ILIGE38	50.63298	5.57938
ILIGE76	50.62892	5.63532
ILIGE79	50.638	5.619
IOLNE3	50.606	5.705
IFLRON12	50.628	5.702
IOLNE4	50.573	5.719
IRGIONWA3	50.60723	5.74735
ISOUMA12	50.64083	5.73831
IBLEGN2	50.648	5.669
IVERVI5	50.58804	5.82627
IVERVI6	50.58801	5.8263
IHERVE111	50.627	5.812
IRGIONWA71	50.63165	5.83276
IHERVE109	50.638	5.796
IDISON3	50.609	5.863
IVERVI4	50.591	5.863
IHERVE97	50.64191	5.82421
IRGIONWA9	50.60743	5.96249
IBAELE11	50.63	5.968
IBAELE3	50.63016	5.96827
ITHIMIST7	50.64917	5.86567
ITHIMI1	50.658	5.867
IBAELE8	50.63184	6.00435
IBAELE10	50.633	6.002
IEUPEN20	50.629	6.045
IEUPEN17	50.634	6.046
IEUPEN19	50.64879	6.0543
IRAERE10	50.66044	6.11196
IROETG7	50.63954	6.17489
IRAERE9	50.669	6.111
IROETG2	50.642	6.187
IROETG15	50.642	6.187
IMONSCHA16	50.57625	6.22925
IMONSC8	50.574	6.225
IMONSC5	50.58856	6.252
IMONSC12	50.56966	6.22854
IROETG4	50.638	6.21
ISIMME114	50.605	6.295
INORDRHE456	50.57908	6.29387
ISIMME116	50.622	6.277
ISIMME99	50.62572	6.3115
ISIMME13	50.62451	6.33397
IMONSC13	50.572	6.27
ISIMME7	50.624	6.338
ISIMMERA16	50.62581	6.35621
ISIMME72	50.626	6.356
ISIMMERA15	50.62583	6.35558
INIDEGGE8	50.64329	6.41625
INIDEG3	50.64446	6.41574
IHEIMB6	50.637	6.455
IHEIMB2	50.634	6.463
IINCOU2	50.72927	4.76122
IINCOU3	50.73	4.76
IINCOU4	50.73	4.76
ICHAUM2	50.702	4.735
IRGIONWA18	50.74134	4.83051
IJODOI2	50.72254	4.86349
IGREZD1	50.7313	4.7409
IRGIONWA10	50.72641	4.8674
IJODOI6	50.717	4.875
IJODOI3	50.70569	4.91386
IWALENIN2	50.69362	4.92901
IORPJA2	50.70334	4.93038
IORPJA1	50.704	4.932
IJODOI5	50.731	4.878
IORPJAUC3	50.68064	4.98048
IHANNUT5	50.69296	5.0233
IHANNUT7	50.68591	5.0191
IRGIONWA31	50.71298	5.03517
ILINCE2	50.726	5.011
IHANNU15	50.675	5.019
IHANNU17	50.675	5.019
ILANDE3	50.72551	5.08607
IGEER6	50.67143	5.1695
ILANDE10	50.75659	5.0867
IBERLO7	50.69664	5.22581
IGINGE2	50.722	5.201
IWAREM1	50.69682	5.28425
IHEERS12	50.74155	5.29873
IREMIC1	50.67859	5.33247
IREMIC2	50.67859	5.33247
IRGIONWA118	50.72204	5.34604
IHEERS3	50.76925	5.32122
IAWANS6	50.69983	5.43941
IAWANS9	50.688	5.451
IRGIONWA26	50.70733	5.46003
IANS30	50.70117	5.48703
ITONGE1	50.751	5.447
IJUPRE2	50.72526	5.51439
ITONGE5	50.752	5.499
IHERST7	50.66843	5.57292
IHERST6	50.669	5.582
IHERST3	50.673	5.593
IOUPEY1	50.7108	5.64125
IHERST5	50.667	5.599
IOUPEY3	50.71	5.651
IRGIONWA103	50.69593	5.65342
IHERST9	50.661	5.617
IOUPEY4	50.74775	5.61152
ILIGE68	50.65407	5.63404
IVIS20	50.699	5.684
IVIS15	50.69857	5.68395
IVIS14	50.71291	5.70173
IVIS19	50.72789	5.70068
IVIS21	50.72798	5.70122
