stationId	latitude	longitude	precipitation_12	precipitation_13	precipitation_14	precipitation_15	precipitation
IPERL28	49.482494	6.389545	0.0	27.18	62.74	1.52	91.44
IPERL22	49.499706	6.442106	0.0	23.37	50.29	1.02	74.67999999999999
IPERL21	49.469528	6.38105	0.0	23.39	62.51	1.5	87.4
IPERL19	49.467117	6.377461	0.0	23.37	62.48	1.52	87.36999999999999
ICHARL29	49.785	4.692	0.25	35.81	35.05	20.32	91.43
ICHINY4	49.697118	5.382964	1.6	37.6	34.0	8.0	81.2
ITALLE13	49.673051	5.667114	3.3	38.81	83.59	10.11	135.81
ISAINT1137	49.620151	5.718177	2.29	33.02	70.87	6.6	112.78
IARLON63	49.685144	5.712037	3.05	39.12	77.98	7.87	128.02
IAUBANGE19	49.569817	5.776245	3.56	39.37	100.58	7.87	151.38
IARLON59	49.638974	5.772772	2.79	29.46	72.39	4.57	109.21000000000001
IMESSA1	49.632	5.806	3.0	38.4	94.49	8.1	143.98999999999998
ICLEME2	49.594051	5.871804	3.3	29.72	71.37	8.89	113.28
IBASCH1	49.573002	5.917	3.05	27.43	74.17	11.68	116.33000000000001
IBASCH3	49.562	5.918	2.79	31.8	83.31	13.69	131.59
IBASCH8	49.559	5.896	3.3	36.09	80.8	10.59	130.78
ILUXEMBU60	49.590996	5.982148	1.27	27.18	67.82	16.51	112.78
IDIPPA1	49.587	5.982	1.5	29.69	92.99	26.7	150.88
IBERTR18	49.613	6.045	1.52	11.43	34.8	11.18	58.93
ILMAMER6	49.630718	6.020388	2.01	34.01	104.7	24.41	165.13
IBERTRAN43	49.610001	6.05	1.52	42.93	128.52	20.57	193.54000000000002
IBERTR4	49.606	6.053	1.19	36.09	106.91	17.09	161.28
ILUXEMBO85	49.621574	6.115753	1.27	24.38	86.61	12.19	124.44999999999999
ILUXEMBO110	49.59119	6.169322	1.27	36.07	135.64	16.0	188.98
ILUXEM13	49.60911	6.161629	1.3	28.09	117.09	13.31	159.79000000000002
IALZIN2	49.574165	6.165982	1.8	35.61	104.6	10.39	152.39999999999998
ILUXEM16	49.593754	6.143506	1.45	32.41	146.71	1.17	181.73999999999998
IWEILERL8	49.562305	6.219735	0.25	5.84	28.96	32.51	67.56
ICANAC1	49.602	6.266	0.25	27.18	88.39	6.1	121.91999999999999
IERSAN1	49.576221	6.275153	0.0	24.38	88.65	4.83	117.86
ICONTERN4	49.586056	6.260773	0.25	22.1	55.63	4.83	82.81
IEHNEN3	49.602	6.391	0.0	15.49	65.79	0.51	81.79
IPALZE1	49.582806	6.416789	0.0	21.89	75.69	0.2	97.78
IWINCH17	49.609719	6.430975	0.0	14.48	59.18	59.44	133.1
IWORMELD8	49.629234	6.423727	0.0	17.3	83.79	0.3	101.39
IDAMOU1	49.796	4.676	0.76	38.35	31.75	19.56	90.42
IBOGNY2	49.855276	4.729899	0.25	41.15	28.96	29.97	100.33
IVRESS4	49.861124	4.929445	0.3	48.79	56.11	24.89	130.08999999999997
IBERTR3	49.828	5.302	1.27	28.45	58.67	11.94	100.33
ILGLIS7	49.796	5.557	1.78	38.61	73.41	17.27	131.07
IHABAY9	49.707	5.679	2.79	39.62	66.29	8.38	117.08
ILGLIS8	49.78706	5.63152	2.29	38.86	69.85	10.41	121.41
ILGLIS6	49.794396	5.65555	3.05	36.07	68.58	11.94	119.63999999999999
IATTERT9	49.719406	5.753531	2.54	28.7	53.09	6.35	90.67999999999999
IARLON60	49.691643	5.769078	3.05	32.51	89.92	4.83	130.31
IARLON64	49.682942	5.798825	3.3	35.56	89.92	6.86	135.64000000000001
IARLON61	49.687092	5.812061	2.79	31.75	72.64	7.37	114.55000000000001
IARLON65	49.67858	5.825865	3.56	18.03	25.91	0.0	47.5
IARLON17	49.673557	5.829329	3.81	38.1	97.28	9.4	148.59
IEISCH1	49.689	5.88	2.29	30.48	85.85	88.14	206.76
IHOBSC1	49.682	5.918	2.79	29.21	82.3	15.01	129.31
IHOBSC2	49.686	5.929	2.03	23.88	67.82	12.19	105.91999999999999
ISTEINFO2	49.662022	5.92557	2.03	23.62	53.09	6.86	85.60000000000001
IKOERICH15	49.669628	5.948658	2.54	28.7	80.77	16.26	128.26999999999998
IGOEBL1	49.67	5.964	2.29	31.5	91.44	15.49	140.72
IDONDE1	49.693	6.033	1.52	28.7	93.98	25.4	149.6
IHOLLE23	49.714235	6.04595	1.8	34.59	109.7	30.2	176.29
IHOLLE28	49.713597	6.047683	1.5	31.8	104.4	27.3	165.0
IKOERICH14	49.670574	5.971231	2.0	31.5	81.0	81.0	195.5
ILUXEMBO3	49.671364	6.034289	1.52	19.81	59.69	18.54	99.56
IKEHLE3	49.66663	6.029306	1.78	11.43	11.43	1.52	26.16
ILMEISPE2	49.686634	6.05738	1.52	40.64	112.52	17.02	171.70000000000002
IBROUC2	49.739	6.014	2.29	43.18	184.66	27.69	257.82
ICLAUS10	49.693881	6.068613	1.78	37.59	107.95	23.88	171.2
IGOSSE1	49.729	6.114	1.52	26.67	94.23	95.5	217.92000000000002
ISTEINSE14	49.669525	6.132354	1.02	27.94	105.92	14.22	149.1
IHEISD4	49.673682	6.141966	1.02	26.42	94.23	13.21	134.88
ILUXEMBU11	49.662422	6.080723	1.27	32.77	103.63	15.24	152.91000000000003
IJUNGLIN19	49.702068	6.220619	1.02	23.37	112.52	11.68	148.59
IALTLI2	49.723	6.218	1.27	19.3	93.98	9.4	123.95000000000002
IGONDE5	49.695117	6.246045	1.02	15.49	83.31	5.59	105.41000000000001
